ID,POINT_BALANCE
4691,0.68
4692,0.392
4693,0.592
4694,1.28
4695,1.1
4696,1.032
4697,1.192
4698,1.24
4699,0.805
4700,0.836
4701,0.741
4702,0.665
4703,0.57
4704,0.828
4705,0.627
4706,0.741
4707,0.817
4708,0.494
4709,0.703
4710,0.532
4711,0.722
4712,0.874
4713,0.874
4714,1.007
4715,0.874
4716,0.57
4717,0.684
4718,0.95
4719,0.676
4720,0.779
4721,0.931
4722,1.732
4723,1.45
4724,1.385
4725,1.385
4726,1.58
4727,1.472
4728,1.169
4729,1.428
4730,1.472
4731,1.428
4732,0.255
4733,0.186
4734,0.305
4735,0.511
4736,0.562
4737,0.477
4738,0.31
4739,0.487
4740,0.31
4741,0.143
4742,0.181
4743,0.292
4744,0.024
4745,0.161
4746,0.106
4747,0.124
4748,0.099
4749,0.153
4750,0.0
4751,0.248
4752,0.161
4753,0.0
4754,0.0
4755,0.521
4756,0.76
4757,0.743
4758,0.879
4759,0.801
9149,-2.565
9150,-1.638
9151,-1.152
9152,1.078
9153,1.221
9154,1.945
9155,1.12
9156,-2.97
9157,-3.6
9158,1.078
9159,-1.332
9160,1.331
9161,1.413
9162,0.893
9163,-1.818
9164,1.051
9165,-0.065
9166,-1.026
9167,0.7
9168,-2.394
9169,0.682
9170,1.05
9171,0.695
9172,-3.546
9173,-2.331
9174,1.509
9175,-1.04
9176,1.503
9177,1.138
9178,1.098
9179,1.391
9180,-2.466
9181,-2.331
9182,0.247
9183,-2.295
9184,1.131
9185,1.067
9186,0.143
9187,1.074
9188,2.016
9189,-2.34
9190,-1.323
9191,3.201
9192,2.124
9193,1.446
9194,1.571
12298,1.079
12299,-0.045
12300,0.361
12301,1.044
12302,-1.017
12303,-0.032
12304,1.454
12305,-1.773
12306,-0.96
12307,1.335
12308,1.249
12309,-0.162
12310,0.037
12311,1.367
12312,1.129
12313,-0.162
12314,0.037
12315,1.653
12316,1.748
12317,-2.025
12318,-0.637
12319,1.362
12320,1.199
12321,-0.972
12322,-0.477
12323,1.311
12324,1.383
12325,-2.529
12326,1.07
12327,0.954
12328,-1.926
12329,1.046
12330,0.841
12331,-1.17
12332,0.177
12333,1.707
12334,1.837
12335,-0.162
12336,0.495
12337,1.554
12338,1.354
12339,1.173
12340,1.25
12341,-0.792
12342,0.889
12343,1.035
12344,-0.45
12345,1.376
12346,1.703
12347,-1.089
12348,1.533
12349,1.371
12350,-1.305
12351,0.921
12352,0.871
12353,2.669
12354,2.855
12355,2.112
12356,2.844
12357,-1.269
12358,1.331
12359,1.83
12360,1.87
12361,0.436
12362,1.196
12363,1.211
12364,-0.89
12365,1.433
12366,1.377
12367,-0.455
12368,1.552
12369,1.654
12370,-0.9
12371,0.969
12372,0.851
12373,1.391
12374,1.17
12375,-1.147
12376,1.885
12377,1.649
12378,0.887
12379,0.745
12380,1.353
12381,1.372
12382,-1.296
12383,1.331
12384,-2.52
12385,-2.52
12386,1.003
12387,0.0
12388,-2.142
12389,1.581
12390,-0.801
12391,-0.81
12392,1.132
12393,1.859
12394,1.533
12395,1.471
12396,1.543
12397,0.573
12398,-0.981
12399,-0.837
12400,-1.89
12401,-1.863
12402,-2.187
12403,-2.07
12404,-1.692
12405,-1.773
12406,-2.7
12407,-0.432
12408,-0.864
12409,-2.88
12410,-1.638
12411,-2.466
12412,-1.278
12413,0.102
12414,-1.377
12415,-5.139
12416,-2.8
12417,-2.496
12418,-4.041
12419,-1.899
12420,0.371
12421,0.642
12422,0.635
12423,0.625
12424,0.439
12425,0.456
12426,0.523
12427,0.405
12428,0.331
12429,0.692
12430,0.507
12431,0.726
12432,0.743
12433,0.804
12434,0.787
12435,0.743
12436,0.371
12437,-2.61
12438,-1.107
12439,0.943
12440,1.185
12441,1.301
12442,1.54
12443,1.289
12444,1.155
12445,1.212
12446,1.52
12447,1.463
12448,1.155
12449,1.039
12450,0.935
12451,1.108
12452,1.27
12453,1.012
12454,1.397
12455,1.443
12456,1.713
12457,1.54
12458,1.52
12459,1.713
12460,1.185
12461,1.474
12462,0.9
16263,0.468
16264,0.118
16265,0.339
16266,-0.078
16267,0.0
16268,-0.084
16269,0.522
16270,-0.144
16271,-0.032
16272,1.024
16273,0.091
16274,0.301
16275,0.156
16276,0.226
16277,-0.36
16278,0.064
16279,1.072
16280,-0.396
16281,0.177
16282,0.048
16283,-1.152
16284,-0.253
16285,-0.292
16286,-0.364
16287,-1.044
16288,-0.406
16289,0.431
16290,0.785
16291,-0.603
16292,-0.021
16293,0.943
16294,1.697
16295,-0.45
16296,-0.217
16297,0.231
16298,0.296
16299,-0.612
16300,-0.171
16301,0.026
16302,0.097
16303,-0.693
16304,-0.657
16305,-1.245
16306,-0.13
16307,-1.692
16308,-0.945
16309,0.89
16310,1.19
16311,0.533
16312,0.404
16313,0.512
16314,1.39
16315,1.46
16316,0.786
16317,0.323
16318,0.226
16319,2.44
16320,2.18
16321,0.064
16322,0.032
16323,-0.11
16324,1.75
16325,2.01
16326,0.6144999999999999
16327,0.501
16328,0.415
16329,1.47
16330,1.62
16331,0.623
16332,0.307
16333,0.673
16334,1.37
16335,1.38
16336,0.43
16337,0.431
16338,-0.42
16339,0.409
16340,-0.078
16341,-0.072
16342,0.026
16343,-0.195
16344,-0.405
16345,1.8
16346,2.07
16347,-0.315
16348,-0.377
16349,-2.34
16350,-1.252
16351,-1.215
16352,-1.404
16353,-1.125
16354,-1.408
16355,-1.548
16356,1.13
16357,1.32
16358,0.2125
16359,-0.77
16360,-0.27
16361,-1.134
16362,-0.036
16363,0.215
16364,0.161
16365,-0.09
16366,-0.243
16367,0.75
16368,1.15
16369,-0.486
16370,-0.706
16371,-1.112
16372,-1.26
16373,-1.098
16374,-0.637
16375,-1.125
16376,-0.612
16377,-0.9
16378,1.33
16379,1.37
16380,0.361
16381,-0.024
16382,0.016
16383,-0.441
16384,-0.387
16385,0.83
16386,0.334
16387,-0.063
16388,0.323
16389,1.54
16390,1.73
16391,0.231
16392,0.485
16393,0.937
16394,0.636
16395,0.592
16396,1.606
16397,0.183
16398,0.436
16399,0.458
16400,2.05
16401,2.17
16402,-0.48
16403,0.781
16404,-1.659
16405,-1.087
16406,-1.696
16407,-1.575
16408,-0.651
16409,-1.992
16410,0.555
16411,0.88
16412,0.92
16413,0.555
16414,0.177
16415,0.431
16416,0.048
16417,0.431
16418,0.587
16419,0.657
16420,0.662
16421,1.64
16422,1.66
16423,0.695
16424,1.234
16425,1.369
16426,1.347
16427,0.84
16428,1.584
16429,1.482
16430,1.444
16431,1.131
16432,1.62
16433,1.66
16434,0.0
16435,-0.383
16436,-0.279
16437,-0.383
16438,-0.494
16439,0.037
16440,0.134
16441,-0.097
16442,-0.227
16443,1.19
16444,1.29
16445,0.878
16446,0.91
16447,0.797
16448,0.943
16449,0.571
16450,0.878
16451,1.169
16452,1.89
16453,1.72
16454,0.032
16455,-0.253
16456,0.161
16457,-0.084
16458,-0.552
16459,-0.175
16460,1.64
16461,1.8
16462,-0.299
16463,-1.332
16464,0.107
16465,-1.04
16466,-0.623
16467,-0.406
16468,1.94
16469,1.95
16470,-0.472
16471,-1.188
16472,-0.325
16473,-0.783
16474,-1.16
16475,-0.36
16476,1.48
16477,1.45
16478,0.242
16479,-0.513
16480,-0.154
16481,-0.171
16482,-0.387
16483,0.675
16484,1.55
16485,1.56
16486,1.66
16487,1.67
23360,-0.765
23361,-0.297
23362,-1.089
23363,-1.35
23364,1.539
23365,1.6
23366,1.239
23367,1.302
23368,1.274
23369,1.129
23370,1.136
23371,1.242
23372,1.037
23373,1.217
23374,1.596
23375,1.302
23376,1.437
23377,1.366
23378,1.306
23379,1.288
23380,1.239
23381,1.203
23382,1.345
23383,1.522
23384,1.416
23385,1.203
23386,1.416
23387,1.309
23388,1.416
23389,1.55
23390,1.639
23391,1.175
23392,1.419
23393,0.018
23394,-0.036
23395,-0.666
23396,-1.359
23397,1.312
23398,1.537
23399,1.312
23400,1.517
23401,1.435
23402,1.312
23403,1.291
23404,1.23
23405,1.517
23406,1.312
23407,1.25
23408,1.189
23409,1.271
23410,1.025
23411,1.271
23412,1.066
23413,0.984
23414,1.148
23415,1.168
23416,0.902
23417,0.943
23418,1.004
23419,0.963
23420,1.209
23421,1.025
23422,0.861
23423,-0.072
23424,-0.171
23425,-0.738
23426,-1.575
23427,-1.098
23428,-0.963
23429,-1.224
23430,1.933
23431,1.864
23432,1.537
23433,1.607
23434,1.584
23435,1.398
23436,1.514
23437,1.631
23438,1.491
23439,1.398
23440,1.234
23441,1.537
23442,1.91
23443,1.631
23444,1.561
23445,1.607
23446,1.3744999999999998
23447,1.514
23448,1.398
23449,1.398
23450,1.514
23451,1.258
23452,1.98
23453,1.631
23454,1.491
23455,1.491
23456,2.097
23457,1.91
23458,1.561
23459,1.398
23460,1.491
23461,1.584
23462,2.027
23463,1.351
23464,1.351
23465,1.188
23466,1.351
23467,1.631
23468,1.118
23469,1.071
23470,0.932
23471,1.118
23472,1.141
23473,1.98
23474,1.165
23475,1.211
23476,1.328
23477,1.328
23478,1.211
23479,1.095
23480,1.491
23481,0.978
23482,1.141
23483,1.677
23484,1.84
23485,1.584
23486,1.467
23487,1.165
23488,0.978
23489,2.003
23490,1.7
23491,2.05
23492,1.945
23493,1.91
23494,2.143
23495,2.027
23496,1.957
23497,1.957
23498,2.283
23499,2.003
23500,1.817
23501,1.817
23502,1.747
23503,2.33
23504,2.306
23505,2.027
23506,1.91
23507,1.584
23508,1.887
23509,1.631
23510,1.561
23511,2.003
23512,2.19
23513,1.631
23514,2.213
23515,2.027
23516,1.584
23517,1.514
23518,1.933
23519,1.8985
23520,1.957
23521,2.0265
23522,1.794
23523,2.213
23524,2.19
23525,2.609
23526,1.91
23527,1.584
23528,1.631
23529,2.097
23530,1.887
23531,1.84
23532,2.236
23533,1.467
23534,1.747
23535,1.84
23536,2.2015
23537,1.537
23538,1.514
23539,1.98
23540,1.421
23541,1.584
23542,2.33
23543,1.747
23544,1.747
23545,1.584
23546,1.607
23547,1.398
23548,1.607
23549,1.631
23550,1.514
23551,1.444
23552,1.421
23553,-1.17
23554,-0.846
23555,-1.359
23556,-2.997
23557,-1.809
23558,-2.088
23559,-1.872
23560,-2.925
23561,-2.916
23562,1.657
23563,1.615
23564,2.061
23565,1.742
23566,1.997
23567,2.061
23568,1.615
23569,1.615
23570,1.423
23571,1.827
23572,1.763
23573,2.082
23574,1.763
23575,1.87
23576,1.615
23577,2.082
23578,1.827
23579,1.912
23580,1.87
23581,1.997
23582,1.848
23583,1.997
23584,1.785
23585,1.062
23586,1.976
23587,1.19
23588,2.018
23589,1.806
23590,1.933
23591,1.7
23592,1.742
23593,1.763
23594,1.933
23595,1.657
23596,1.317
23597,1.657
23598,1.827
23599,1.848
23600,1.7
23601,2.061
23602,1.593
23603,1.7
23604,1.657
23605,1.848
23606,1.933
23607,1.721
23608,1.7
23609,1.7
23610,1.7
23611,1.87
23612,1.7
23613,1.721
23614,1.7
23615,1.657
23616,1.742
23617,1.232
23618,1.232
23619,0.998
23620,1.041
23621,1.253
23622,1.508
23623,1.275
23624,1.36
23625,1.466
23626,1.423
23627,2.167
23628,1.615
23629,1.445
23630,1.933
23631,-0.531
23632,-1.359
23633,-1.53
23634,-2.34
23635,-1.314
23636,-1.935
23637,-1.782
23638,-0.873
23639,-2.556
23640,-2.277
23641,1.502
23642,1.684
23643,1.36
23644,1.3090000000000002
23645,1.218
23646,1.0755
23647,1.238
23648,1.055
23649,1.096
23650,1.38
23651,1.664
23652,1.055
23653,1.075
23654,1.096
23655,0.994
23656,1.096
23657,1.116
23658,1.157
23659,1.481
23660,1.36
23661,1.563
23662,1.38
23663,0.9945
23664,0.994
23665,1.238
23666,1.015
23667,1.0655
23668,0.994
23669,0.852
23670,1.157
23671,1.299
23672,1.299
23673,1.157
23674,1.299
23675,1.096
23676,1.563
23677,1.096
23678,1.157
23679,1.096
23680,0.9535
23681,1.664
23682,1.583
23683,1.421
23684,1.36
23685,1.745
23686,1.441
23687,1.421
23688,1.684
23689,1.177
23690,1.563
23691,1.705
23692,1.481
23693,1.664
23694,1.583
23695,1.603
23696,1.542
23697,1.339
23698,1.4
23699,1.4
23700,1.299
23701,1.319
23702,1.299
23703,1.461
23704,1.563
23705,1.624
23706,1.319
23707,1.258
23708,1.218
23709,1.278
23710,1.218
23711,1.218
23712,1.177
23713,1.278
23714,1.4
23715,1.867
23716,1.075
23717,1.136
23718,0.893
23719,1.045
23720,1.197
23721,1.136
23722,1.218
23723,1.339
23724,1.218
23725,1.177
23726,1.197
23727,1.238
23728,1.218
23729,1.339
23730,1.136
23731,1.075
23732,1.136
23733,1.238
23734,1.421
23735,0.994
23736,1.075
23737,1.218
23738,1.157
23739,1.177
23740,1.136
23741,1.136
23742,0.913
23743,0.852
23744,0.812
23745,1.542
23746,0.812
23747,1.197
23748,1.157
23749,0.994
23750,1.278
23751,1.055
23752,1.319
23753,2.07
23754,1.624
23755,1.664
23756,1.299
23757,-0.801
23758,-1.269
23759,-1.602
23760,-2.538
23761,-2.349
23762,-1.557
23763,-2.646
23764,0.725
23765,0.939
23766,0.64
23767,0.427
23768,1.857
23769,1.708
23770,1.814
23771,1.985
23772,2.135
23773,1.836
23774,1.9
23775,1.494
23776,1.537
23777,1.75
23778,1.708
23779,2.263
23780,1.708
23781,1.451
23782,1.281
23783,1.238
23784,1.409
23785,1.43
23786,1.409
23787,1.729
23788,1.345
23789,1.216
23790,1.046
23791,1.074
23792,1.216
23793,1.174
23794,1.366
23795,1.195
23796,1.366
23797,0.939
23798,0.789
23799,0.939
23800,1.259
23801,1.345
23802,0.96
23803,1.131
23804,1.473
23805,1.558
23806,1.281
23807,1.238
23808,1.046
23809,0.982
23810,1.302
23811,1.451
23812,1.387
23813,1.43
23814,1.43
23815,1.729
23816,1.579
23817,1.216
23818,1.473
23819,1.43
23820,1.579
23821,1.643
23822,1.878
23823,1.537
23824,1.537
23825,-1.881
23826,-1.188
23827,-2.079
23828,-3.276
23829,-2.538
23830,-2.862
23831,1.821
23832,2.311
23833,0.817
23834,2.475
23835,3.269
23836,1.751
23837,3.269
23838,2.545
23839,2.335
23840,2.194
23841,1.424
23842,1.774
23843,2.568
23844,0.56
23845,2.218
23846,1.33
23847,2.148
23848,2.451
23849,1.167
23850,1.914
23851,1.085
23852,1.844
23853,1.984
23854,1.517
23855,2.194
23856,2.171
23857,1.868
23858,1.097
23859,1.634
23860,1.284
23861,1.727
23862,1.26
23863,2.078
23864,1.447
23865,1.938
23866,1.33
23867,1.704
23868,1.167
23869,1.564
23870,1.237
23871,1.471
23872,1.564
23873,1.704
23874,1.774
23875,1.471
23876,1.471
23877,1.214
23878,1.494
23879,1.611
23880,1.891
23881,2.264
23882,1.704
23883,-0.342
23884,-0.315
23885,-0.783
23886,-2.034
23887,-1.008
23888,2.475
23889,3.24
23890,2.07
23891,1.462
23892,2.025
23893,2.115
23894,2.475
23895,2.295
23896,2.295
23897,2.565
23898,2.497
23899,2.182
23900,2.272
23901,2.587
23902,2.362
23903,1.507
23904,1.642
23905,1.822
23906,2.025
23907,2.452
23908,1.665
23909,2.092
23910,2.025
23911,2.362
23912,2.002
23913,1.417
23914,2.677
23915,2.34
23916,1.935
23917,1.957
23918,2.317
23919,2.295
23920,2.7
23921,2.34
23922,2.16
23923,2.205
23924,2.115
23925,2.047
23926,2.722
23927,2.655
23928,3.375
23929,3.24
23930,2.295
23931,1.417
23932,2.475
23933,1.89
23934,2.43
23935,3.127
23936,2.79
23937,1.462
23938,3.375
23939,3.082
23940,1.282
23941,2.61
23942,2.295
23943,2.632
23944,-2.16
23945,-0.909
23946,-1.359
23947,-2.529
23948,1.728
23949,1.776
23950,0.888
23951,1.224
23952,1.368
23953,1.368
23954,1.152
23955,1.164
23956,1.104
23957,1.128
23958,1.344
23959,1.56
23960,1.536
23961,1.656
23962,1.728
23963,1.2
23964,1.824
23965,1.872
23966,1.68
23967,1.608
23968,1.608
23969,1.728
23970,1.464
23971,2.016
23972,1.548
23973,1.368
23974,1.824
23975,1.848
23976,1.512
23977,1.368
23978,1.2
23979,1.224
23980,1.44
23981,1.32
23982,0.912
23983,1.608
23984,0.624
23985,1.08
23986,0.672
23987,1.272
23988,2.136
23989,2.256
23990,2.232
23991,1.752
23992,1.632
23993,1.536
23994,1.944
23995,1.512
23996,1.224
23997,1.608
23998,1.488
23999,2.208
24000,1.944
24001,0.864
24002,1.632
24003,1.944
24004,1.56
24005,1.68
24006,1.656
24007,1.656
24008,1.68
24009,1.608
24010,1.656
24011,-0.702
24012,-0.774
24013,-0.936
24014,-2.106
24015,-0.315
24016,1.54
24017,1.58
24018,1.68
24019,2.16
24020,1.8
24021,1.68
24022,2.24
24023,1.66
24024,1.9
24025,1.86
24026,1.58
24027,1.56
24028,1.5
24029,1.58
24030,2.08
24031,1.82
24032,1.24
24033,1.42
24034,1.68
24035,1.54
24036,1.54
24037,1.06
24038,1.3
24039,1.23
24040,1.08
24041,1.04
24042,1.9
24043,1.28
24044,1.08
24045,1.08
24046,1.4
24047,1.32
24048,1.14
24049,1.32
24050,1.6
24051,1.68
24052,1.68
24053,1.96
24054,1.4
24055,1.6
24056,1.58
24057,1.82
24058,1.76
24059,1.04
24060,1.82
24061,1.9
24062,2.02
24063,1.76
24064,1.34
24065,1.84
24066,1.64
24067,1.18
24068,1.28
24069,1.84
24070,1.9
24071,1.98
24072,1.6
24073,1.14
24074,1.24
24075,1.54
24076,1.22
24077,1.42
24078,1.64
24079,-3.528
24080,-4.248
24081,1.226
24082,0.459
24083,1.401
24084,1.182
24085,1.073
24086,1.335
24087,1.401
24088,0.744
24089,1.314
24090,1.204
24091,1.095
24092,1.357
24093,0.919
24094,1.303
24095,0.985
24096,1.16
24097,1.051
24098,1.204
24099,0.919
24100,1.029
24101,1.029
24102,0.766
24103,1.379
24104,1.16
24105,0.919
24106,0.876
24107,0.81
24108,0.5469999999999999
24109,0.635
24110,0.635
24111,0.635
24112,0.175
24113,0.93
24114,0.998
24115,0.889
24116,0.893
24117,0.481
24118,0.626
24119,1.073
24120,0.876
24121,0.832
24122,0.897
24123,1.248
24124,1.051
24125,1.379
24126,1.248
24127,1.16
24128,1.029
24129,1.335
24130,1.335
24131,1.423
24132,1.533
24133,1.116
24134,1.182
24135,1.292
24136,1.467
24137,1.62
24138,1.204
24139,1.16
24140,1.292
24141,1.467
24142,1.116
24143,1.357
24144,1.292
24145,1.051
24146,1.204
24147,1.138
24148,1.108
24149,0.897
24150,0.985
24151,-1.908
24152,-2.421
24153,0.927
24154,0.763
24155,0.647
24156,0.57
24157,0.542
24158,0.7
24159,0.665
24160,0.63
24161,0.682
24162,0.728
24163,0.822
24164,0.658
24165,0.717
24166,0.71
24167,0.518
24168,0.745
24169,0.682
24170,0.735
24171,0.665
24172,0.658
24173,0.735
24174,0.71
24175,0.675
24176,0.815
24177,0.752
24178,0.85
24179,0.78
24180,0.805
24181,0.945
24182,0.945
24183,0.822
24184,0.955
24185,0.882
24186,0.868
24187,0.84
24188,1.032
24189,0.7
24190,0.938
24191,0.78
24192,0.892
24193,1.032
24194,1.113
24195,0.903
24196,1.288
24197,0.91
24198,1.008
24199,1.015
24200,1.032
24201,0.885
24202,0.85
24203,0.98
24204,1.102
24205,0.752
24206,0.903
24207,0.798
24208,1.2
24209,0.927
24210,0.955
24211,0.868
24212,1.155
24213,1.137
24214,1.375
24215,0.798
24216,1.032
24217,1.05
24218,0.787
24219,1.19
24526,-1.71
24527,-0.342
24528,-1.035
24529,-0.084
24530,0.382
24531,1.188
24532,-1.89
24533,-0.63
24534,-0.243
24535,-0.026
24536,0.883
24537,0.849
24538,-1.764
24539,-0.639
24540,-0.801
24541,-0.637
24542,-0.12
24543,1.333
24544,-2.43
24545,-0.783
24546,-0.036
24547,-0.531
24548,0.792
24549,1.422
24550,-1.692
24551,-1.044
24552,0.215
24553,0.037
24554,0.587
24555,0.894
24556,1.22
24557,0.587
24558,-1.692
24559,0.037
24560,-1.044
24561,0.215
24562,0.894
24563,1.664
24564,1.794
24565,2.041
24566,2.397
24567,2.21
24568,2.196
24569,-2.394
24570,-2.367
24571,-1.176
24572,-0.856
24573,0.587
24574,1.255
24575,1.066
24576,1.154
24577,1.324
24578,1.2
24579,1.483
24580,1.326
24581,-1.908
24582,-1.08
24583,0.113
24584,0.021
24585,0.463
24586,0.005
24587,1.284
24588,1.244
24589,1.475
24590,1.432
24591,2.07
24592,2.184
24593,-2.007
24594,-2.088
24595,-0.76
24596,-0.48
24597,-0.838
24598,0.803
24599,1.044
24600,1.038
24601,1.235
24602,1.463
24603,1.293
24604,1.726
24605,-2.16
24606,-0.884
24607,-0.12
24608,0.591
24609,-1.332
24610,-0.54
24611,0.086
24612,0.269
24613,0.377
24614,0.08
24615,1.323
24616,1.433
24617,1.565
24618,-1.971
24619,-1.548
24620,-0.476
24621,0.404
24622,0.431
24623,0.512
24624,1.283
24625,1.198
24626,1.592
24627,2.096
24628,-0.972
24629,1.6
24630,0.858
24631,-1.71
24632,1.333
24633,-0.216
24634,1.696
24635,-2.151
24636,0.949
24637,2.497
24638,3.087
24639,-0.279
24640,1.744
24641,-1.296
24642,1.37
24643,1.375
24644,1.642
24645,0.847
24646,1.189
24647,1.7
24648,0.853
24649,1.304
24650,0.026
24651,-1.665
24652,1.342
24653,-1.6
24654,-3.33
24655,0.719
24656,0.107
24657,0.0
24658,-1.773
24659,-2.547
24660,1.483
24661,0.08
24662,-0.44
24663,-0.045
24664,-1.89
24665,0.08
24666,1.174
24667,-0.675
24668,1.384
24669,-0.666
24670,1.455
24671,-0.76
24672,-0.963
24673,-1.071
24674,-0.855
24675,0.801
24676,-1.283
24677,-1.737
24678,-1.692
24679,-1.359
24680,0.825
24681,-1.728
24682,-1.962
24683,-1.962
24684,-1.728
24685,-2.925
24686,-2.277
24687,-2.268
24688,-2.268
24689,-2.277
24690,-2.484
24691,-2.214
24692,-0.936
24693,-1.53
24694,-1.512
24695,-2.052
24696,-3.6
24697,-2.133
24698,-2.241
24699,-2.673
24700,-3.177
24701,-3.114
24702,-3.429
24703,-2.862
24704,-2.979
24705,-2.988
24706,-2.88
24707,-2.295
24708,-3.0465
24709,-2.016
24710,-2.178
24711,-2.7
24712,-2.34
24713,-3.06
24714,-3.402
24715,-3.231
24716,-2.799
24717,-1.008
24718,-1.611
24719,-0.135
24720,-1.827
24721,-2.079
24722,-0.801
24723,-3.258
24724,-2.52
24725,-2.745
24726,-3.636
24727,-1.737
24728,-2.655
24729,-2.961
24730,-1.359
24731,-3.141
24732,-2.223
24733,-1.179
24734,-2.988
24735,-2.214
24736,-1.557
24737,-5.094
24738,-5.967
24739,-4.482
24740,-3.96
24741,-4.275
24742,-3.1275
24743,-3.015
24744,-3.267
24745,-1.809
30412,-0.378
30413,-2.781
30414,-2.736
30415,0.45
30416,-1.08
30417,-0.522
30418,-2.529
30419,-0.36
30420,-2.34
30421,-2.412
30422,-2.601
30423,-1.692
30424,-1.233
30425,-1.368
30426,-1.179
30427,-0.45
30428,-4.05
30429,-2.88
30430,-1.395
30431,-3.15
30432,-2.889
30433,-3.375
30434,-2.295
30435,-1.98
30436,-2.79
30437,-0.72
30438,-2.187
30439,-2.475
30440,-2.808
30441,-0.612
30442,-1.71
30443,-1.8
30444,1.307
30445,1.464
30446,1.67
30447,1.717
30448,1.601
30449,1.487
30450,1.308
30451,1.398
30452,1.511
30453,1.091
30454,1.09
30455,1.112
30456,1.287
30457,1.134
30458,1.58
30459,1.626
30460,1.049
30461,1.673
30462,1.178
30463,0.965
30464,1.558
30465,1.028
30466,1.489
30467,1.421
30468,1.398
30469,1.451
30470,1.103
30471,0.498
30472,1.09
30473,1.307
30474,1.717
30475,1.542
30476,1.107
30477,1.108
30478,1.097
30479,1.168
30480,1.181
30481,1.202
30482,1.299
30483,1.422
30484,1.173
30485,1.202
30486,1.295
30487,1.194
30488,1.232
30489,1.413
30490,1.173
30491,1.202
30492,1.173
30493,1.13
30494,1.244
30495,1.266
30496,1.19
30497,1.109
30498,1.147
30499,1.194
30500,1.168
30501,1.16
30502,1.2275
30503,1.097
30504,0.97
30505,1.097
30506,1.105
30507,0.987
30508,0.949
30509,0.9635
30510,0.991
30511,1.0165
30512,1.13
30513,1.109
30514,1.118
30515,1.13
30516,1.088
30517,1.012
30518,1.004
30519,1.084
30520,0.856
30521,0.844
30522,1.16
30523,1.118
30524,1.055
30525,1.097
30526,1.16
30527,1.118
30528,0.789
30529,1.266
30530,1.105
30531,1.232
30532,1.173
30533,1.088
30534,1.211
30535,1.244
30536,1.215
30537,1.173
30538,1.278
30539,1.168
30540,1.257
30541,1.202
30542,1.278
30543,1.025
30544,1.118
30545,1.223
30546,1.088
30547,1.173
30548,1.097
30549,0.907
30550,1.118
30551,1.109
30552,1.173
30553,0.991
30554,1.076
30555,1.055
30556,1.244
30557,1.194
30558,1.046
30559,0.708
30560,1.139
30561,1.139
30562,1.244
30563,1.152
