MONTH,ID,POINT_ID,YEAR,N_MONTHS,POINT_LON,POINT_LAT,POINT_BALANCE,ALTITUDE_CLIMATE,ELEVATION_DIFFERENCE,aspect,slope,t2m,tp,slhf,sshf,ssrd,fal,str
aug,1,hn14aa,1995,3,-18.77387068,64.8850131,-1.43,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,276.20425746185964,0.0028269908810366062,575703.35676682,1245204.9274935913,12664852.37990974,0.8500045509330616,-358999.17528573424
sep,1,hn14aa,1995,3,-18.77387068,64.8850131,-1.43,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,271.684384628081,0.0026373792124566153,96776.90117955906,703547.9801540829,8791944.390290007,0.8499916030008673,-1701176.404231456
oct,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,267.88568155189944,0.0050710322408527705,-32688.346893930808,190854.63347092317,3434260.410100637,0.8500045509330616,-1029337.4111363743
nov,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,266.3763455097885,0.006052936812501167,301104.08365251124,828053.8479105947,842499.4763249066,0.8499916030008673,-1431540.3526467583
dec,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,263.0490108551286,0.005854226695332885,248241.74519707635,995440.8906648178,132217.12301626801,0.8499916030008673,-2002828.6103642443
jan,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.6928097316846,0.004155728312870666,348585.22597775236,1243700.3248620927,488457.8079574425,0.8499916030008673,-1792889.3469473398
feb,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.14008838462115,0.002286906972835635,274514.64395037666,1004844.6571116843,2580602.176186044,0.8500045509330616,-1861757.4293867215
mar,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.68371734588874,0.002901598159460594,151221.94437916856,860026.6538299406,8206126.375053409,0.8500045509330616,-2397527.76565242
apr,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,265.03880770455703,0.0021595286925995567,-232109.14465994202,364260.08675114065,15410984.277159981,0.8500045509330616,-2476734.397997956
may,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,270.0573261172449,0.0010797248141411458,-306812.8085849872,25724.49466394796,20602422.6043768,0.8500045509330616,-2374849.656180856
jun,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,274.6982712460945,0.002028511032928162,1498.0755802425556,805484.8084381153,20528975.450814858,0.8500045509330616,-1129721.3957090327
jul,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,275.2931046957914,0.0012693364827211367,-378667.60397051834,952559.7156671067,18984386.209440283,0.8500045509330616,-1427204.8317183712
aug,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,276.20425746185964,0.0028269908810366062,575703.35676682,1245204.9274935913,12664852.37990974,0.8500045509330616,-358999.17528573424
sep,2,hn14aa,1995,11,-18.77387068,64.8850131,0.64,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,271.684384628081,0.0026373792124566153,96776.90117955906,703547.9801540829,8791944.390290007,0.8499916030008673,-1701176.404231456
oct,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.6875632508741,0.004573165134101471,99625.76971907355,451903.1900359362,3542891.828841958,0.8500045509330616,-1145229.220568264
nov,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,266.8347931725476,0.001521909415532102,147898.26441640127,517729.5551640014,906710.7602772657,0.8499916030008673,-1272793.586345811
dec,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,263.51655090368354,0.004366448382175493,110704.70292829629,881467.2413287964,132217.12301626801,0.8500045509330616,-1934627.5311446143
jan,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,265.8609507991501,0.002268710075659052,437849.7735492047,1150414.9617091771,483180.1681805365,0.8499916030008673,-1479898.08607877
feb,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,263.15189837860794,0.0047977148452605,247292.12235057168,913063.8965902678,2585000.2093334664,0.8500045509330616,-1638644.8523797174
mar,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.1228782382898,0.003216040542671942,132862.56934674177,969486.4952714662,8374571.044599668,0.8500045509330616,-2326325.1719439067
apr,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,268.5197558245047,0.002763301740918567,-354135.6804358107,270222.4222824762,14553367.81341271,0.8500174988652558,-2182419.2272824384
may,3,hn14aa,1996,7,-18.77387068,64.8850131,1.83,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,270.0171282010948,0.00146841053783295,-375185.6535333339,113743.74860661803,21132385.598641142,0.8500045509330616,-2594293.7154792245
jun,4,hn14aa,1996,4,-18.77387068,64.8850131,-1.3,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,273.8990983893015,0.0025245584499618036,-164527.65208368236,334920.3354369174,21743272.402818047,0.8500045509330616,-1635476.5870858962
jul,4,hn14aa,1996,4,-18.77387068,64.8850131,-1.3,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,276.0650003951969,0.002172630458566695,144574.58445363445,943908.2505359896,18231882.737916395,0.8500045509330616,-1161404.0486472468
aug,4,hn14aa,1996,4,-18.77387068,64.8850131,-1.3,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,275.37206488822903,0.002859745295954454,86805.86129125813,725740.8689686877,12669690.216371905,0.8500045509330616,-884931.2140600923
sep,4,hn14aa,1996,4,-18.77387068,64.8850131,-1.3,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,275.4223122834166,0.0032033027146483335,579343.5776784224,1115056.7998689595,7582045.47143424,0.8499916030008673,-335320.5609845426
oct,4,hn14aa,1996,4,-18.77387068,64.8850131,-1.3,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.6875632508741,0.004573165134101471,99625.76971907355,451903.1900359362,3542891.828841958,0.8500045509330616,-1145229.220568264
oct,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.6875632508741,0.004573165134101471,99625.76971907355,451903.1900359362,3542891.828841958,0.8500045509330616,-1145229.220568264
nov,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,266.8347931725476,0.001521909415532102,147898.26441640127,517729.5551640014,906710.7602772657,0.8499916030008673,-1272793.586345811
dec,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,263.51655090368354,0.004366448382175493,110704.70292829629,881467.2413287964,132217.12301626801,0.8500045509330616,-1934627.5311446143
jan,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,265.8609507991501,0.002268710075659052,437849.7735492047,1150414.9617091771,483180.1681805365,0.8499916030008673,-1479898.08607877
feb,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,263.15189837860794,0.0047977148452605,247292.12235057168,913063.8965902678,2585000.2093334664,0.8500045509330616,-1638644.8523797174
mar,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.1228782382898,0.003216040542671942,132862.56934674177,969486.4952714662,8374571.044599668,0.8500045509330616,-2326325.1719439067
apr,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,268.5197558245047,0.002763301740918567,-354135.6804358107,270222.4222824762,14553367.81341271,0.8500174988652558,-2182419.2272824384
may,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,270.0171282010948,0.00146841053783295,-375185.6535333339,113743.74860661803,21132385.598641142,0.8500045509330616,-2594293.7154792245
jun,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,273.8990983893015,0.0025245584499618036,-164527.65208368236,334920.3354369174,21743272.402818047,0.8500045509330616,-1635476.5870858962
jul,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,276.0650003951969,0.002172630458566695,144574.58445363445,943908.2505359896,18231882.737916395,0.8500045509330616,-1161404.0486472468
aug,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,275.37206488822903,0.002859745295954454,86805.86129125813,725740.8689686877,12669690.216371905,0.8500045509330616,-884931.2140600923
sep,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,275.4223122834166,0.0032033027146483335,579343.5776784224,1115056.7998689595,7582045.47143424,0.8499916030008673,-335320.5609845426
oct,5,hn14aa,1996,12,-18.77387068,64.8850131,0.53,1333.9236122108978,-115.87638778910218,1.606406331062317,0.05624557286500931,267.6875632508741,0.004573165134101471,99625.76971907355,451903.1900359362,3542891.828841958,0.8500045509330616,-1145229.220568264
nov,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,265.3240214905742,0.0046612381164361305,203926.01236018538,838209.9156732108,915506.826572109,0.8500045509330616,-1449215.9379701833
dec,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,265.0536426498029,0.004087307979486716,276097.34869455174,986037.1242179512,129578.30312781408,0.8500045509330616,-1661322.9618512816
jan,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,263.8601473774425,0.004072022585858386,279737.5696061533,997321.6439541914,425565.93394930847,0.8500045509330616,-1400858.204538172
feb,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,261.99190136970594,0.004970585368438035,162617.41853722557,786677.2755443822,2671641.4623376783,0.8500045509330616,-2041514.7971098535
mar,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,261.66457548105535,0.0014298331158185944,114661.46478873305,579418.2630554454,8356978.9120099805,0.8500045509330616,-2154905.344467673
apr,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,265.84755149376673,0.0020310585985328835,-124643.4925304805,342067.1979365358,16289271.496700136,0.8499916030008673,-2513753.076694185
may,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,271.0656238473424,0.00313415450537732,-478852.8142767763,34752.110452939756,20544368.566830833,0.8500045509330616,-2354339.3071734854
jun,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,273.77754754760963,0.0027047077320099706,-223404.26856698096,478986.0374029116,21731397.713320006,0.8500045509330616,-1835244.0514015844
jul,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,276.57130272003945,0.002578421265604487,293190.5599316377,894632.5143544092,17801755.09609853,0.8500045509330616,-796553.2874429682
aug,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,276.500477820156,0.00204598005421768,249033.0975691639,899522.47290678,13996576.816949094,0.8500045509330616,-825567.9275021749
sep,8,hn14aa,1999,10,-18.77387068,64.8850131,1.04,1333.9236122108978,-114.37638778910218,1.606406331062317,0.05624557286500931,272.4983924301199,0.0055197677252272976,-53421.77904261928,378553.81175037776,8044278.755228283,0.8500045509330616,-1182247.899264493
oct,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,269.11554636744324,0.003735379988091609,184458.7440068368,516601.1031903776,3793139.9149302654,0.8500045509330616,-1233440.39638045
nov,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,265.7647629283625,0.0031811025000929027,401764.1053820215,751319.1137041645,859651.8055998515,0.8499916030008673,-1308811.7602124126
dec,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,261.9971653825351,0.002847371405874379,308859.3368989676,1023276.0393475424,126059.87660987675,0.8500045509330616,-1507912.2213083487
jan,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.5061853155686,0.003548679823059871,298096.94463857915,936009.0867206217,418529.0809134338,0.8499916030008673,-1570110.2715502116
feb,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,262.2479238118522,0.004491279096806849,291291.3142386284,1109414.5400008392,2697150.054592725,0.8500045509330616,-1979483.4976729285
mar,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.2640407254265,0.005723572973605022,2922.5098499995656,640730.8202890148,7414920.211832208,0.8500045509330616,-1873596.7365373173
apr,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.0439092798428,0.0016452843783893323,-38860.895396212116,773512.0025187694,17193507.11181008,0.8500045509330616,-3346339.84574947
may,9,hn14aa,2000,7,-18.77387068,64.8850131,2.49,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,270.4822755165456,0.0025074533666158156,-587426.3597271601,32871.35716356663,21236179.1809203,0.8500045509330616,-2430210.9234202616
jun,10,hn14aa,2000,3,-18.77387068,64.8850131,-1.11,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,273.03580028531667,0.0015568474581111411,-371703.7030961495,355608.6216200236,23228048.393387683,0.8500045509330616,-2490241.213197931
jul,10,hn14aa,2000,3,-18.77387068,64.8850131,-1.11,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,277.54801637316194,0.0016751272897589271,414584.01380983647,1026661.3952684146,18109177.613103323,0.8500045509330616,-650646.3331222441
aug,10,hn14aa,2000,3,-18.77387068,64.8850131,-1.11,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,275.9554132190259,0.0019142345186592222,297147.3217920745,740786.8952836739,13785031.4225581,0.8500045509330616,-966639.1084796977
sep,10,hn14aa,2000,3,-18.77387068,64.8850131,-1.11,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,273.18271409791276,0.002742557278137263,56259.65972868679,705804.8841013308,8756760.125110632,0.8499916030008673,-1619135.008201975
oct,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,269.11554636744324,0.003735379988091609,184458.7440068368,516601.1031903776,3793139.9149302654,0.8500045509330616,-1233440.39638045
nov,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,265.7647629283625,0.0031811025000929027,401764.1053820215,751319.1137041645,859651.8055998515,0.8499916030008673,-1308811.7602124126
dec,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,261.9971653825351,0.002847371405874379,308859.3368989676,1023276.0393475424,126059.87660987675,0.8500045509330616,-1507912.2213083487
jan,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.5061853155686,0.003548679823059871,298096.94463857915,936009.0867206217,418529.0809134338,0.8499916030008673,-1570110.2715502116
feb,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,262.2479238118522,0.004491279096806849,291291.3142386284,1109414.5400008392,2697150.054592725,0.8500045509330616,-1979483.4976729285
mar,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.2640407254265,0.005723572973605022,2922.5098499995656,640730.8202890148,7414920.211832208,0.8500045509330616,-1873596.7365373173
apr,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,264.0439092798428,0.0016452843783893323,-38860.895396212116,773512.0025187694,17193507.11181008,0.8500045509330616,-3346339.84574947
may,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,270.4822755165456,0.0025074533666158156,-587426.3597271601,32871.35716356663,21236179.1809203,0.8500045509330616,-2430210.9234202616
jun,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,273.03580028531667,0.0015568474581111411,-371703.7030961495,355608.6216200236,23228048.393387683,0.8500045509330616,-2490241.213197931
jul,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,277.54801637316194,0.0016751272897589271,414584.01380983647,1026661.3952684146,18109177.613103323,0.8500045509330616,-650646.3331222441
aug,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,275.9554132190259,0.0019142345186592222,297147.3217920745,740786.8952836739,13785031.4225581,0.8500045509330616,-966639.1084796977
sep,11,hn14aa,2000,11,-18.77387068,64.8850131,1.38,1333.9236122108978,-113.37638778910218,1.606406331062317,0.05624557286500931,273.18271409791276,0.002742557278137263,56259.65972868679,705804.8841013308,8756760.125110632,0.8499916030008673,-1619135.008201975
oct,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,268.5494257149964,0.002503086111293436,151221.94437916856,556849.223582966,3806773.817687273,0.8500045509330616,-1565441.2490119487
nov,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,264.92347796893597,0.0017202555947568518,286543.2000061041,697153.4189702135,889998.2343170624,0.8499916030008673,-1291636.4273038013
dec,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,264.24920578018066,0.0013384846919921502,227508.3130483888,827301.5465948456,120342.43351822905,0.8500045509330616,-1563940.4917675066
jan,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,266.1691348229673,0.003475164358466478,359664.1591869751,1368958.4939343538,464708.42896136455,0.8499916030008673,-1641146.114453787
feb,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,262.8638133128658,0.004161551319967172,136186.2493095086,1192167.6847332641,2846243.3782903273,0.8499916030008673,-2297810.7842995133
mar,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,262.80208079877815,0.0019226050913604513,136344.5197839262,577161.3591081975,7991502.357459219,0.8499916030008673,-1903945.3830360281
apr,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,267.2118879097649,0.0017559215132229543,-160096.07879999327,302571.3788596967,15152379.928091573,0.8500045509330616,-2296143.2762501338
may,12,hn14aa,2001,7,-18.77387068,64.8850131,1.63,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,270.67177997839593,0.002691969903986362,-448939.6946118744,-79221.53888308164,20593626.53808196,0.8499916030008673,-2101378.3360825847
jun,13,hn14aa,2001,3,-18.77387068,64.8850131,-0.84,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,273.07743384132925,0.0024495872335942824,-376451.8173286738,27229.097295446554,21800886.637049273,0.8500045509330616,-1893940.3347397498
jul,13,hn14aa,2001,3,-18.77387068,64.8850131,-0.84,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,274.93228054368245,0.0022949136075933307,-158355.10358140105,647125.381472884,18115334.859509714,0.8500045509330616,-1327654.601170403
aug,13,hn14aa,2001,3,-18.77387068,64.8850131,-0.84,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,275.259606432333,0.002629372577698918,107222.75249111187,657281.4492354998,13069471.429472556,0.8500045509330616,-900105.5373094478
sep,13,hn14aa,2001,3,-18.77387068,64.8850131,-0.84,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,273.9201544406182,0.002796056155836415,119251.30854683928,601611.1518700502,6916183.252914563,0.8499916030008673,-808392.594593564
oct,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,268.5494257149964,0.002503086111293436,151221.94437916856,556849.223582966,3806773.817687273,0.8500045509330616,-1565441.2490119487
nov,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,264.92347796893597,0.0017202555947568518,286543.2000061041,697153.4189702135,889998.2343170624,0.8499916030008673,-1291636.4273038013
dec,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,264.24920578018066,0.0013384846919921502,227508.3130483888,827301.5465948456,120342.43351822905,0.8500045509330616,-1563940.4917675066
jan,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,266.1691348229673,0.003475164358466478,359664.1591869751,1368958.4939343538,464708.42896136455,0.8499916030008673,-1641146.114453787
feb,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,262.8638133128658,0.004161551319967172,136186.2493095086,1192167.6847332641,2846243.3782903273,0.8499916030008673,-2297810.7842995133
mar,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,262.80208079877815,0.0019226050913604513,136344.5197839262,577161.3591081975,7991502.357459219,0.8499916030008673,-1903945.3830360281
apr,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,267.2118879097649,0.0017559215132229543,-160096.07879999327,302571.3788596967,15152379.928091573,0.8500045509330616,-2296143.2762501338
may,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,270.67177997839593,0.002691969903986362,-448939.6946118744,-79221.53888308164,20593626.53808196,0.8499916030008673,-2101378.3360825847
jun,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,273.07743384132925,0.0024495872335942824,-376451.8173286738,27229.097295446554,21800886.637049273,0.8500045509330616,-1893940.3347397498
jul,14,hn14aa,2001,11,-18.77387068,64.8850131,0.79,1333.9236122108978,-112.37638778910218,1.606406331062317,0.05624557286500931,274.93228054368245,0.0022949136075933307,-158355.10358140105,647125.381472884,18115334.859509714,0.8500045509330616,-1327654.601170403
